Entity      ;Measurable                    ;Parameter       ;Type          ;Value                ;Age       ;State     ;Info
node01    ;gpu_health_nvswitch_fatal     ;gpu0            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_nvswitch_fatal     ;gpu1            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_nvswitch_fatal     ;gpu2            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_nvswitch_fatal     ;gpu3            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_nvswitch_non_fatal ;gpu0            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_nvswitch_non_fatal ;gpu1            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_nvswitch_non_fatal ;gpu2            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_nvswitch_non_fatal ;gpu3            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_overall            ;                ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_overall            ;gpu0            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_overall            ;gpu1            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_overall            ;gpu2            ;GPU           ;0.000000             ;1m 48s    ;          ;
node01    ;gpu_health_overall            ;gpu3            ;GPU           ;0.000000             ;1m 48s    ;          ;
